name,kind,trainable_params,pct_trainable,em_mean,em_std,em_ci_low,em_ci_high,f1_mean,f1_std,f1_ci_low,f1_ci_high,decode_ms_mean,decode_ms_ci_low,decode_ms_ci_high,train_wall_clock_sec_mean,n
C0,variant,1538,0.002317506950787996,1.5894039735099337,0.18418091139008314,1.1318732257412822,2.046934721278585,7.414558498161735,0.07955633350768204,7.216929609886716,7.612187386436755,0.04926848391639859,0.04761173729878045,0.05092523053401673,1539.9249639443394,3
C1,variant,7089410,10.6825467828257,26.080100914538004,0.9688060495827877,23.67345327139754,28.486748557678467,36.09945841372791,1.1669760094437545,33.20052929996077,38.99838752749505,0.049559239987235486,0.04892958682548778,0.05018889314898319,1859.3235756943275,3
C2,variant,21265154,32.043005334575525,58.66288237149164,0.14201614946953905,58.310094698916785,59.015670044066496,70.31114837598406,0.19475522470443027,69.82734957773538,70.79494717423275,0.04932595525131931,0.04771319094429589,0.050938719558342734,2342.9766825836655,3
C3,variant,66364418,100.0,67.82087669504888,0.6588867979059997,66.18411115259617,69.45764223750159,77.90842203716635,0.7666814445294736,76.00387974791147,79.81296432642122,0.04819027253258321,0.047380716432813524,0.0489998286323529,3087.1729054859898,3
lora_r16,variant,1328642,1.9627447776773572,41.39072847682119,0.4658873132353897,40.233400232587115,42.54805672105526,52.3775141280666,0.481887213221074,51.18043992889386,53.57458832723934,0.04777249419705303,0.04686892315199985,0.048676065242106215,2220.4150005000024,3
lora_r32,variant,2655746,3.847782801559266,45.1687164932198,0.10027192113266979,44.919627232504475,45.41780575393512,55.693462871935054,0.19786432489472883,55.20194064065404,56.18498510321607,0.048111099274376734,0.046470140635881306,0.04975205791287216,1416.4019172363332,3
lora_r64,variant,5309954,7.408441611459114,50.49826553137812,1.9285136662310245,45.70757200546774,55.288959057288494,60.93723154368726,2.1668254185876483,55.55453880659449,66.31992428078003,0.047874399495361895,0.04690429078858041,0.04884450820214338,1477.5753280416732,3
lora_r128,variant,10618370,13.793174131339592,57.754651529485976,3.0295098936635543,50.22893175451561,65.28037130445634,68.14773232876598,3.3066655226041934,59.93351980392029,76.36194485361167,0.04832567798722099,0.046535151368664374,0.050116204605777606,1585.699509402669,3
lora_r256,variant,21235202,24.241203329420834,63.147272153894676,1.416280158319571,59.629037202209304,66.66550710558005,73.50072046064747,1.5683870885897226,69.60463094725944,77.3968099740355,0.04808143989300636,0.04707726165466458,0.04908561813134814,1837.8152578469987,3
random_span,baseline,0,0.0,0.07883948281299274,0.03041201753703234,0.00329184315883832,0.15438712246714717,7.8606903602772435,0.016615345572825915,7.819415553746023,7.9019651668084645,,,,,3
tfidf,baseline,0,0.0,0.27436140018921473,0.0,,,18.942754193879278,0.0,,,,,,,1
